Date,Close
11/05/2020,22.01
12/05/2020,21.03
13/05/2020,19.41
14/05/2020,19.38
15/05/2020,19.19
18/05/2020,21.86
19/05/2020,21.76
20/05/2020,22.72
21/05/2020,23.16
22/05/2020,22.69
26/05/2020,25.65
27/05/2020,26.32
28/05/2020,25.66
29/05/2020,25.21
01/06/2020,26.17
02/06/2020,26.41
03/06/2020,28.47
04/06/2020,32.38
05/06/2020,34.16
08/06/2020,36.97
09/06/2020,34.17
10/06/2020,31.64
11/06/2020,27.2
12/06/2020,30.43
15/06/2020,30.46
16/06/2020,31.3
17/06/2020,30.72
18/06/2020,30.79
19/06/2020,29.51
22/06/2020,29.31
23/06/2020,29.64
24/06/2020,27.34
25/06/2020,28.01
26/06/2020,26.91
29/06/2020,28.61
30/06/2020,28.05
01/07/2020,27.7
02/07/2020,27.72
06/07/2020,28.44
07/07/2020,27.01
08/07/2020,27.01
09/07/2020,25.65
10/07/2020,27.09
13/07/2020,26.82
14/07/2020,26.11
15/07/2020,28.6
16/07/2020,27.26
17/07/2020,27.05
20/07/2020,26.22
21/07/2020,26.43
22/07/2020,26.25
23/07/2020,26.78
24/07/2020,25.96
27/07/2020,25.5
28/07/2020,25.94
29/07/2020,25.72
30/07/2020,24.94
31/07/2020,24.97
03/08/2020,25.2
04/08/2020,25.67
05/08/2020,26.47
06/08/2020,27.08
07/08/2020,27.18
10/08/2020,29.34
11/08/2020,29.64
12/08/2020,29.09
13/08/2020,28.7
14/08/2020,28.95
17/08/2020,28.02
18/08/2020,27.63
19/08/2020,27.67
20/08/2020,27.62
21/08/2020,27.27
24/08/2020,29.8
25/08/2020,30.1
26/08/2020,29.95
27/08/2020,30.82
28/08/2020,31.99
31/08/2020,30.85
01/09/2020,30.71
02/09/2020,31.14
03/09/2020,31.22
04/09/2020,31.77
08/09/2020,32.54
09/09/2020,31.76
10/09/2020,31.79
11/09/2020,31.7
14/09/2020,32.82
15/09/2020,33.51
16/09/2020,34.57
17/09/2020,33.96
18/09/2020,32.84
21/09/2020,29.82
22/09/2020,30.22
23/09/2020,29.56
24/09/2020,29.01
25/09/2020,29.78
28/09/2020,31.34
29/09/2020,30.61
30/09/2020,30.58
01/10/2020,31.1
02/10/2020,31.75
05/10/2020,32
06/10/2020,31.06
07/10/2020,32.15
08/10/2020,32.68
09/10/2020,32.81
12/10/2020,32.64
13/10/2020,31.77
14/10/2020,31.76
15/10/2020,31.34
16/10/2020,31.47
19/10/2020,31.5
20/10/2020,31.98
21/10/2020,31.5
22/10/2020,33.72
23/10/2020,34
26/10/2020,31.93
27/10/2020,30.71
28/10/2020,29.65
29/10/2020,30.76
30/10/2020,30.64
02/11/2020,30.22
03/11/2020,30.9
04/11/2020,30.43
05/11/2020,31.98
06/11/2020,31.42
09/11/2020,36.77
10/11/2020,37.04
11/11/2020,35.02
12/11/2020,34.38
13/11/2020,36.46
16/11/2020,38
17/11/2020,37.6
18/11/2020,37.91
19/11/2020,37.91
20/11/2020,37.13
23/11/2020,38.79
24/11/2020,41.26
25/11/2020,41.29
27/11/2020,41.06
30/11/2020,40.25
01/12/2020,39.96
02/12/2020,41.07
03/12/2020,42.95
04/12/2020,42.36
07/12/2020,42.35
08/12/2020,42.41
09/12/2020,42.11
10/12/2020,42.62
11/12/2020,41.74
14/12/2020,40.69
15/12/2020,41.85
16/12/2020,41.08
17/12/2020,41.11
18/12/2020,40.68
21/12/2020,40.14
22/12/2020,38.94
23/12/2020,40.24
24/12/2020,39.73
28/12/2020,40.15
29/12/2020,40.03
30/12/2020,40.56
